strain,state,state_group,date,year,new
14117-19_S75_2019|2019-09-23,Connecticut,north,2019-09-23,2019,TRUE
11403-19_S64_2019|2019-08-27,Connecticut,north,2019-08-27,2019,TRUE
14149-19_S76_2019|2019-09-23,Connecticut,north,2019-09-23,2019,TRUE
10229-19-19_S57_2019|2019-08-19,Connecticut,north,2019-08-19,2019,TRUE
14759-19_S80_2019|2019-09-30,Connecticut,north,2019-09-30,2019,TRUE
12004-19_S68_2019|2019-08-29,Connecticut,north,2019-08-29,2019,TRUE
10529-19_S59_2019|2019-08-20,Connecticut,north,2019-08-20,2019,TRUE
10084-19_S56_2019|2019-08-15,Connecticut,north,2019-08-15,2019,TRUE
14661-19_S79_2019|2019-09-26,Connecticut,north,2019-09-26,2019,TRUE
14098-17_S47_2017|2017-10-11,Connecticut,north,2017-10-11,2017,TRUE
14229-17_S49_2017|2017-10-25,Connecticut,north,2017-10-25,2017,TRUE
17667-18_S50_2018|2018-09-19,Connecticut,north,2018-09-19,2018,TRUE
10278-19_S58_2019|2019-08-19,Connecticut,north,2019-08-19,2019,TRUE
12670-19_S71_2019|2019-09-05,Connecticut,north,2019-09-05,2019,TRUE
15347-19_S82_2019|2019-10-10,Connecticut,north,2019-10-10,2019,TRUE
19350-18_S53_2018|2018-10-09,Connecticut,north,2018-10-09,2018,TRUE
11716-19_S66_2019|2019-08-28,Connecticut,north,2019-08-28,2019,TRUE
15191-19_S81_2019|2019-10-07,Connecticut,north,2019-10-07,2019,TRUE
9180-19_S55_2019|2019-08-08,Connecticut,north,2019-08-08,2019,TRUE
15435-19_S83_2019|2019-10-17,Connecticut,north,2019-10-17,2019,TRUE
10838-19_S61_2019|2019-08-21,Connecticut,north,2019-08-21,2019,TRUE
13289-19_S72_2019|2019-09-11,Connecticut,north,2019-09-11,2019,TRUE
18341-18_S51_2018|2018-09-26,Connecticut,north,2018-09-26,2018,TRUE
14275-19_S74_2019|2019-09-23,Connecticut,north,2019-09-23,2019,TRUE
11548-19_S65_2019|2019-08-27,Connecticut,north,2019-08-27,2019,TRUE
18694-18_S52_2018|2018-10-01,Connecticut,north,2018-10-01,2018,TRUE
11309-19_S63_2019|2019-08-26,Connecticut,north,2019-08-26,2019,TRUE
13866-19_S73_2019|2019-09-17,Connecticut,north,2019-09-17,2019,TRUE
14311-19_S78_2019|2019-09-23,Connecticut,north,2019-09-23,2019,TRUE
10579-19_S60_2019|2019-08-20,Connecticut,north,2019-08-20,2019,TRUE
12388-19_S69_2019|2019-09-03,Connecticut,north,2019-09-03,2019,TRUE
19VX2817_S42_2019|2019-08-28,Connecticut,north,2019-08-28,2019,TRUE
8117-19_S54_2019|2019-07-31,Connecticut,north,2019-07-31,2019,TRUE
10898-19_S62_2019|2019-08-21,Connecticut,north,2019-08-21,2019,TRUE
11854-19_S67_2019|2019-08-28,Connecticut,north,2019-08-28,2019,TRUE
12606-19_S70_2019|2019-09-04,Connecticut,north,2019-09-04,2019,TRUE
11357-16_S45_2016|2016-09-12,Connecticut,north,2016-09-12,2016,TRUE
13966-17_S46_2017|2017-10-05,Connecticut,north,2017-10-05,2017,TRUE
CC19-0533_S36_2019|2019-09-10,Massachusetts,north,2019-09-10,2019,TRUE
CC19-0548_S37_2019|2019-09-12,Massachusetts,north,2019-09-12,2019,TRUE
SL19-1319_S32_2019|2019-08-13,Massachusetts,north,2019-08-13,2019,TRUE
SL19-0635_S29_2019|2019-07-22,Massachusetts,north,2019-07-22,2019,TRUE
NM19-0698_S39_2019|2019-09-23,Massachusetts,north,2019-09-23,2019,TRUE
SL19-1569_S35_2019|2019-08-29,Massachusetts,north,2019-08-29,2019,TRUE
SL19-1219_S41_2019|2019-08-07,Massachusetts,north,2019-08-07,2019,TRUE
SL19-1332_S31_2019|2019-08-13,Massachusetts,north,2019-08-13,2019,TRUE
SL19-0643_S40_2019|2019-07-22,Massachusetts,north,2019-07-22,2019,TRUE
SL18-1166_S27_2018|2018-09-17,Massachusetts,north,2018-09-17,2018,TRUE
PY19-0166_S30_2019|2019-07-23,Massachusetts,north,2019-07-23,2019,TRUE
SL18-1204_S28_2018|2018-09-26,Massachusetts,north,2018-09-26,2018,TRUE
18VX3174_S43_2018|2018-11-01,Massachusetts,north,2018-11-01,2018,TRUE
18VX2715_S44_2018|2018-09-19,Massachusetts,north,2018-09-19,2018,TRUE
SL19-1516_S33_2019|2019-08-25,Massachusetts,north,2019-08-25,2019,TRUE
SL19-1584_S34_2019|2019-08-29,Massachusetts,north,2019-08-29,2019,TRUE
CM19-2280_S38_2019|2019-09-24,Massachusetts,north,2019-09-24,2019,TRUE
RAB15ANI04939_2015|2015-09-02,New_York,north,2015-09-02,2015,TRUE
ARB15MS260105_S5_2015|2015-07-06,New_York,north,2015-07-06,2015,TRUE
ARB15MS260175_S6_2015|2015-07-28,New_York,north,2015-07-28,2015,TRUE
ARB15MS260353_S12_2015|2015-09-23,New_York,north,2015-09-23,2015,TRUE
ARB17MS260236_S17_2017|2017-09-19,New_York,north,2017-09-19,2017,TRUE
ARB15MS330238_S4_2015|2015-06-25,New_York,north,2015-06-25,2015,TRUE
ARB15MS330683_S8_2015|2015-09-01,New_York,north,2015-09-01,2015,TRUE
