"","strain","state","state_group","date","year","new"
"1","14117-19_S75_2019|2019-09-23","Connecticut","north","2019-09-23",2019,TRUE
"2","11403-19_S64_2019|2019-08-27","Connecticut","north","2019-08-27",2019,TRUE
"3","14149-19_S76_2019|2019-09-23","Connecticut","north","2019-09-23",2019,TRUE
"4","10229-19-19_S57_2019|2019-08-19","Connecticut","north","2019-08-19",2019,TRUE
"5","14759-19_S80_2019|2019-09-30","Connecticut","north","2019-09-30",2019,TRUE
"6","12004-19_S68_2019|2019-08-29","Connecticut","north","2019-08-29",2019,TRUE
"7","10529-19_S59_2019|2019-08-20","Connecticut","north","2019-08-20",2019,TRUE
"8","10084-19_S56_2019|2019-08-15","Connecticut","north","2019-08-15",2019,TRUE
"9","14661-19_S79_2019|2019-09-26","Connecticut","north","2019-09-26",2019,TRUE
"10","14098-17_S47_2017|2017-10-11","Connecticut","north","2017-10-11",2017,TRUE
"11","14229-17_S49_2017|2017-10-25","Connecticut","north","2017-10-25",2017,TRUE
"12","17667-18_S50_2018|2018-09-19","Connecticut","north","2018-09-19",2018,TRUE
"13","10278-19_S58_2019|2019-08-19","Connecticut","north","2019-08-19",2019,TRUE
"14","12670-19_S71_2019|2019-09-05","Connecticut","north","2019-09-05",2019,TRUE
"15","15347-19_S82_2019|2019-10-10","Connecticut","north","2019-10-10",2019,TRUE
"16","19350-18_S53_2018|2018-10-09","Connecticut","north","2018-10-09",2018,TRUE
"17","11716-19_S66_2019|2019-08-28","Connecticut","north","2019-08-28",2019,TRUE
"18","15191-19_S81_2019|2019-10-07","Connecticut","north","2019-10-07",2019,TRUE
"19","9180-19_S55_2019|2019-08-08","Connecticut","north","2019-08-08",2019,TRUE
"20","15435-19_S83_2019|2019-10-17","Connecticut","north","2019-10-17",2019,TRUE
"21","10838-19_S61_2019|2019-08-21","Connecticut","north","2019-08-21",2019,TRUE
"22","13289-19_S72_2019|2019-09-11","Connecticut","north","2019-09-11",2019,TRUE
"23","18341-18_S51_2018|2018-09-26","Connecticut","north","2018-09-26",2018,TRUE
"24","14275-19_S74_2019|2019-09-23","Connecticut","north","2019-09-23",2019,TRUE
"25","11548-19_S65_2019|2019-08-27","Connecticut","north","2019-08-27",2019,TRUE
"26","18694-18_S52_2018|2018-10-01","Connecticut","north","2018-10-01",2018,TRUE
"27","11309-19_S63_2019|2019-08-26","Connecticut","north","2019-08-26",2019,TRUE
"28","13866-19_S73_2019|2019-09-17","Connecticut","north","2019-09-17",2019,TRUE
"29","14311-19_S78_2019|2019-09-23","Connecticut","north","2019-09-23",2019,TRUE
"30","10579-19_S60_2019|2019-08-20","Connecticut","north","2019-08-20",2019,TRUE
"31","12388-19_S69_2019|2019-09-03","Connecticut","north","2019-09-03",2019,TRUE
"32","19VX2817_S42_2019|2019-08-28","Connecticut","north","2019-08-28",2019,TRUE
"33","8117-19_S54_2019|2019-07-31","Connecticut","north","2019-07-31",2019,TRUE
"34","10898-19_S62_2019|2019-08-21","Connecticut","north","2019-08-21",2019,TRUE
"35","11854-19_S67_2019|2019-08-28","Connecticut","north","2019-08-28",2019,TRUE
"36","12606-19_S70_2019|2019-09-04","Connecticut","north","2019-09-04",2019,TRUE
"37","11357-16_S45_2016|2016-09-12","Connecticut","north","2016-09-12",2016,TRUE
"38","13966-17_S46_2017|2017-10-05","Connecticut","north","2017-10-05",2017,TRUE
"39","CC19-0533_S36_2019|2019-09-10","Massachusetts","north","2019-09-10",2019,TRUE
"40","CC19-0548_S37_2019|2019-09-12","Massachusetts","north","2019-09-12",2019,TRUE
"41","SL19-1319_S32_2019|2019-08-13","Massachusetts","north","2019-08-13",2019,TRUE
"42","SL19-0635_S29_2019|2019-07-22","Massachusetts","north","2019-07-22",2019,TRUE
"43","NM19-0698_S39_2019|2019-09-23","Massachusetts","north","2019-09-23",2019,TRUE
"44","SL19-1569_S35_2019|2019-08-29","Massachusetts","north","2019-08-29",2019,TRUE
"45","SL19-1219_S41_2019|2019-08-07","Massachusetts","north","2019-08-07",2019,TRUE
"46","SL19-1332_S31_2019|2019-08-13","Massachusetts","north","2019-08-13",2019,TRUE
"47","SL19-0643_S40_2019|2019-07-22","Massachusetts","north","2019-07-22",2019,TRUE
"48","SL18-1166_S27_2018|2018-09-17","Massachusetts","north","2018-09-17",2018,TRUE
"49","PY19-0166_S30_2019|2019-07-23","Massachusetts","north","2019-07-23",2019,TRUE
"50","SL18-1204_S28_2018|2018-09-26","Massachusetts","north","2018-09-26",2018,TRUE
"51","18VX3174_S43_2018|2018-11-01","Massachusetts","north","2018-11-01",2018,TRUE
"52","18VX2715_S44_2018|2018-09-19","Massachusetts","north","2018-09-19",2018,TRUE
"53","SL19-1516_S33_2019|2019-08-25","Massachusetts","north","2019-08-25",2019,TRUE
"54","SL19-1584_S34_2019|2019-08-29","Massachusetts","north","2019-08-29",2019,TRUE
"55","CM19-2280_S38_2019|2019-09-24","Massachusetts","north","2019-09-24",2019,TRUE
"56","RAB15ANI04939_2015|2015-09-02","New York","north","2015-09-02",2015,TRUE
"57","ARB15MS260105_S5_2015|2015-07-06","New York","north","2015-07-06",2015,TRUE
"58","ARB15MS260175_S6_2015|2015-07-28","New York","north","2015-07-28",2015,TRUE
"59","ARB15MS260353_S12_2015|2015-09-23","New York","north","2015-09-23",2015,TRUE
"60","ARB17MS260236_S17_2017|2017-09-19","New York","north","2017-09-19",2017,TRUE
"61","ARB15MS330238_S4_2015|2015-06-25","New York","north","2015-06-25",2015,TRUE
"62","ARB15MS330683_S8_2015|2015-09-01","New York","north","2015-09-01",2015,TRUE
"63","ARB17MS330746_S18_2017|2017-09-26","New York","north","2017-09-26",2017,TRUE
"64","ARB18MS330453_S21_2018|2018-08-07","New York","north","2018-08-07",2018,TRUE
"65","ARB19MS330484_S3_2019|2019-08-15","New York","north","2019-08-15",2019,TRUE
"66","ARB18MS330394_S19_2018|2018-07-31","New York","north","2018-07-31",2018,TRUE
"67","RAB19ANI05450_S3_2019|2019-08-27","New York","north","2019-08-27",2019,TRUE
"68","ARB18MS350318_S22_2018|2018-09-20","New York","north","2018-09-20",2018,TRUE
"69","ARB15MS370406_S7_2015|2015-07-27","New York","north","2015-07-27",2015,TRUE
"70","16370365_S13_2016|2016-08-17","New York","north","2016-08-17",2016,TRUE
"71","ARB17MS370250_S26_2017|2017-07-26","New York","north","2017-07-26",2017,TRUE
"72","ARB18MS370301_S20_2018|2018-07-30","New York","north","2018-07-30",2018,TRUE
"73","ARB19MS370212_S23_2019|2019-07-08","New York","north","2019-07-08",2019,TRUE
"74","RAB19ANI04511_S25_2019|2019-08-13","New York","north","2019-08-13",2019,TRUE
"75","RAB16ANI06320-01-00_S15_2016|2016-10-21","New York","north","2016-10-21",2016,TRUE
"76","RAB15ANI05176_2015|2015-09-24","New York","north","2015-09-24",2015,TRUE
"77","ARB17MS510915_S16_2017|2017-08-16","New York","north","2017-08-16",2017,TRUE
"78","ARB19MS510595_S24_2019|2019-07-31","New York","north","2019-07-31",2019,TRUE
"79","RAB16ANI05362-01-00_S14_2016|2016-08-23","New York","north","2016-08-23",2016,TRUE
"80","RAB15ANI05065-01-00_S10_2015|2015-09-12","New York","north","2015-09-12",2015,TRUE
"81","KX000089_1933|1933","Virginia","middle","1933-XX-XX",1933,FALSE
"82","KJ469600_1933|1933","New Jersey","middle","1933-XX-XX",1933,FALSE
"83","KJ469583_1934|1934","Delaware","middle","1934-XX-XX",1934,FALSE
"84","KJ469566_1935|1935","New Jersey","middle","1935-XX-XX",1935,FALSE
"85","KJ469609_1953|1953","Georgia","south","1953-XX-XX",1953,FALSE
"86","AY722102_2004|2004","USA","USA","2004-XX-XX",2004,FALSE
"87","KX000218_1973|1973-10-01","New York","north","1973-10-01",1973,FALSE
"88","KX000099_1969|1969","New York","north","1969-XX-XX",1969,FALSE
"89","KJ469635_1969|1969","New York","north","1969-XX-XX",1969,FALSE
"90","EF568607_1960|1960","USA","USA","1960-XX-XX",1960,FALSE
"91","KJ469599_1960|1960","Florida","south","1960-XX-XX",1960,FALSE
"92","KX000120_1971|1971-08-23","New York","north","1971-08-23",1971,FALSE
"93","KX000114_1971|1971-08-28","New York","north","1971-08-28",1971,FALSE
"94","KX000078_1971|1971-08-24","New York","north","1971-08-24",1971,FALSE
"95","KJ469617_1979|1979","Massachusetts","north","1979-XX-XX",1979,FALSE
"96","KJ469611_1977|1977","Massachusetts","north","1977-XX-XX",1977,FALSE
"97","KJ469603_1951|1951","Louisiana","west","1951-XX-XX",1951,FALSE
"98","KX000069_1974|1974-09-05","New York","north","1974-09-05",1974,FALSE
"99","KJ469567_1974|1974","New York","north","1974-XX-XX",1974,FALSE
"100","KX000053_1974|1974-09-12","New York","north","1974-09-12",1974,FALSE
"101","KX000047_1975|1975-07-16","New York","north","1975-07-16",1975,FALSE
"102","KX000065_1974|1974-09-05","New York","north","1974-09-05",1974,FALSE
"103","KX000066_1974|1974-09-04","New York","north","1974-09-04",1974,FALSE
"104","KJ469630_1990|1990","New York","north","1990-XX-XX",1990,FALSE
"105","KJ469624_1984|1984","Massachusetts","north","1984-XX-XX",1984,FALSE
"106","KJ469579_1982|1982","Georgia","south","1982-XX-XX",1982,FALSE
"107","KU840369_1986|1986-01-02","Florida","south","1986-01-02",1986,FALSE
"108","KJ469575_1996|1996","Connecticut","north","1996-XX-XX",1996,FALSE
"109","KJ469563_1996|1996","Connecticut","north","1996-XX-XX",1996,FALSE
"110","KU840378_1994|1994-04-06","Florida","south","1994-04-06",1994,FALSE
"111","EF151502_1993|1993","Florida","south","1993-XX-XX",1993,FALSE
"112","U01034_1982|1982","Florida","south","1982-XX-XX",1982,FALSE
"113","KX029273_2009|2009-08-19","Massachusetts","north","2009-08-19",2009,FALSE
"114","KX000182_2004|2004-09-07","New York","north","2004-09-07",2004,FALSE
"115","KX000095_2004|2004-09-02","New York","north","2004-09-02",2004,FALSE
"116","KX000091_2004|2004-09-17","New York","north","2004-09-17",2004,FALSE
"117","KX000051_2003|2003-09-25","New York","north","2003-09-25",2003,FALSE
"118","KU840335_2002|2002-12-18","Florida","south","2002-12-18",2002,FALSE
"119","KJ469571_2003|2003","Florida","south","2003-XX-XX",2003,FALSE
"120","KU840320_2003|2003-07-28","Florida","south","2003-07-28",2003,FALSE
"121","KJ469625_2009|2009","Virginia","middle","2009-XX-XX",2009,FALSE
"122","KU840297_2008|2008-06-25","Florida","south","2008-06-25",2008,FALSE
"123","KX000160_2014|2014-09-01","New York","north","2014-09-01",2014,FALSE
"124","KX000111_2014|2014-09-02","New York","north","2014-09-02",2014,FALSE
"125","KX000137_2014|2014-08-27","New York","north","2014-08-27",2014,FALSE
"126","KX000135_2014|2014-07-16","New York","north","2014-07-16",2014,FALSE
"127","KX000092_2014|2014-07-31","New York","north","2014-07-31",2014,FALSE
"128","KX000072_2014|2014-08-21","New York","north","2014-08-21",2014,FALSE
"129","KX000076_2014|2014-09-03","New York","north","2014-09-03",2014,FALSE
"130","KU840360_2010|2010-07-22","Florida","south","2010-07-22",2010,FALSE
"131","KJ469650_2009|2009","Virginia","middle","2009-XX-XX",2009,FALSE
"132","KX000071_2013|2013-09-12","New York","north","2013-09-12",2013,FALSE
"133","KU840294_2010|2010-06-14","Florida","south","2010-06-14",2010,FALSE
"134","KJ469627_2003|2003","Florida","south","2003-XX-XX",2003,FALSE
"135","AY705240_1997|1997-08-01","Georgia","south","1997-08-01",1997,FALSE
"136","KJ469620_2006|2006","Virginia","middle","2006-XX-XX",2006,FALSE
"137","KX029317_2011|2011-09-15","Massachusetts","north","2011-09-15",2011,FALSE
"138","KX029301_2011|2011-09-14","Massachusetts","north","2011-09-14",2011,FALSE
"139","KX029291_2012|2012-09-18","Massachusetts","north","2012-09-18",2012,FALSE
"140","KX029248_2012|2012-08-09","Massachusetts","north","2012-08-09",2012,FALSE
"141","KX029236_2012|2012-09-05","Massachusetts","north","2012-09-05",2012,FALSE
"142","KX029275_2011|2011-09-13","Massachusetts","north","2011-09-13",2011,FALSE
"143","KX029298_2011|2011-09-15","Massachusetts","north","2011-09-15",2011,FALSE
"144","KX029281_2009|2009-10-09","Massachusetts","north","2009-10-09",2009,FALSE
"145","KX029293_2013|2013-09-17","Massachusetts","north","2013-09-17",2013,FALSE
"146","KX000157_2013|2013-08-08","Vermont","north","2013-08-08",2013,FALSE
"147","KX000146_2012|2012-08-17","Vermont","north","2012-08-17",2012,FALSE
"148","KX000050_2012|2012-09-08","Vermont","north","2012-09-08",2012,FALSE
"149","KT153580_2012|2012-08-07","Vermont","north","2012-08-07",2012,FALSE
"150","KT153581_2012|2012-09-18","Vermont","north","2012-09-18",2012,FALSE
"151","KX029230_2014|2014-09-23","Massachusetts","north","2014-09-23",2014,FALSE
"152","KX000075_2008|2008-08-05","New York","north","2008-08-05",2008,FALSE
"153","KX000230_2012|2012-07-23","New York","north","2012-07-23",2012,FALSE
"154","KU840347_2009|2009-03-16","Florida","south","2009-03-16",2009,FALSE
"155","KU840328_2005|2005-06-06","Florida","south","2005-06-06",2005,FALSE
"156","KJ469615_2003|2003","Virginia","middle","2003-XX-XX",2003,FALSE
"157","KU840319_2003|2003-06-02","Florida","south","2003-06-02",2003,FALSE
"158","KU840306_2003|2003-05-26","Florida","south","2003-05-26",2003,FALSE
"159","KJ469604_2009|2009","Virginia","middle","2009-XX-XX",2009,FALSE
"160","KU840361_2010|2010-05-09","Florida","south","2010-05-09",2010,FALSE
"161","KU840323_2014|2014-06-23","Florida","south","2014-06-23",2014,FALSE
"162","KX029316_2012|2012-08-22","Massachusetts","north","2012-08-22",2012,FALSE
"163","KX029296_2012|2012-08-01","Massachusetts","north","2012-08-01",2012,FALSE
"164","KX029287_2012|2012-09-14","Massachusetts","north","2012-09-14",2012,FALSE
"165","KX029306_2012|2012-08-14","Massachusetts","north","2012-08-14",2012,FALSE
"166","KX029270_2012|2012-09-02","Massachusetts","north","2012-09-02",2012,FALSE
"167","KX029313_2010|2010-07-12","Massachusetts","north","2010-07-12",2010,FALSE
"168","KX029264_2010|2010-09-08","Massachusetts","north","2010-09-08",2010,FALSE
"169","KX029284_2010|2010-07-20","Massachusetts","north","2010-07-20",2010,FALSE
"170","KX029271_2010|2010-09-01","Massachusetts","north","2010-09-01",2010,FALSE
"171","KX029311_2010|2010-07-27","Massachusetts","north","2010-07-27",2010,FALSE
"172","KX029308_2010|2010-08-04","Massachusetts","north","2010-08-04",2010,FALSE
"173","KX029277_2010|2010-07-14","Massachusetts","north","2010-07-14",2010,FALSE
"174","KX029286_2009|2009-09-15","Massachusetts","north","2009-09-15",2009,FALSE
"175","KX029234_2008|2008-09-30","Massachusetts","north","2008-09-30",2008,FALSE
"176","KX029299_2008|2008-09-16","Massachusetts","north","2008-09-16",2008,FALSE
